Author,Book,Year,Title,Theme,Poem,Meter
Charles Baudelaire,Les fleurs du mal,1857,Les chats,Animaux,"Sonnet.

Les amoureux fervents et les savants austères 
Aiment également, dans leur mûre saison, 
Les chats puissants et doux, orgueil de la maison, 
Qui comme eux sont frileux et comme eux sédentaires.

Amis de la science et de la volupté 
Ils cherchent le silence et l'horreur des ténèbres ; 
L'Erèbe les eût pris pour ses coursiers funèbres, 
S'ils pouvaient au servage incliner leur fierté.

Ils prennent en songeant les nobles attitudes 
Des grands sphinx allongés au fond des solitudes, 
Qui semblent s'endormir dans un rêve sans fin ;

Leurs reins féconds sont pleins d'étincelles magiques, 
Et des parcelles d'or, ainsi qu'un sable fin, 
Etoilent vaguement leurs prunelles mystiques.",vers libre
Charles Baudelaire,Les fleurs du mal,1857,Le chat (II),Animaux,"I

Dans ma cervelle se promène 
Ainsi qu'en son appartement, 
Un beau chat, fort, doux et charmant. 
Quand il miaule, on l'entend à peine,

Tant son timbre est tendre et discret ; 
Mais que sa voix s'apaise ou gronde, 
Elle est toujours riche et profonde. 
C'est là son charme et son secret.

Cette voix, qui perle et qui filtre 
Dans mon fonds le plus ténébreux, 
Me remplit comme un vers nombreux 
Et me réjouit comme un philtre.

Elle endort les plus cruels maux 
Et contient toutes les extases ; 
Pour dire les plus longues phrases, 
Elle n'a pas besoin de mots.

Non, il n'est pas d'archet qui morde 
Sur mon coeur, parfait instrument, 
Et fasse plus royalement 
Chanter sa plus vibrante corde,

Que ta voix, chat mystérieux, 
Chat séraphique, chat étrange, 
En qui tout est, comme en un ange, 
Aussi subtil qu'harmonieux !

II

De sa fourrure blonde et brune 
Sort un parfum si doux, qu'un soir 
J'en fus embaumé, pour l'avoir 
Caressée une fois, rien qu'une.

C'est l'esprit familier du lieu ; 
Il juge, il préside, il inspire 
Toutes choses dans son empire ; 
Peut-être est-il fée, est-il dieu ?

Quand mes yeux, vers ce chat que j'aime 
Tirés comme par un aimant 
Se retournent docilement 
Et que je regarde en moi-même

Je vois avec étonnement 
Le feu de ses prunelles pâles, 
Clairs fanaux, vivantes opales, 
Qui me contemplent fixement.",vers libre
Charles Baudelaire,Les fleurs du mal,1857,Le chat (I),Animaux,"Sonnet.

Viens, mon beau chat, sur mon coeur amoureux ; 
Retiens les griffes de ta patte, 
Et laisse-moi plonger dans tes beaux yeux, 
Mêlés de métal et d'agate.

Lorsque mes doigts caressent à loisir 
Ta tête et ton dos élastique, 
Et que ma main s'enivre du plaisir 
De palper ton corps électrique,

Je vois ma femme en esprit. Son regard, 
Comme le tien, aimable bête 
Profond et froid, coupe et fend comme un dard,

Et, des pieds jusques à la tête, 
Un air subtil, un dangereux parfum 
Nagent autour de son corps brun.",vers libre
Henri-Frédéric Amiel,Il penseroso,1858,Un art négligé,Art (L'),"Pour voir, pour juger, pour sentir 
Sachons nous mettre au point de vue : 
Ainsi l'on peut faire sortir 
De tout quelque grâce imprévue.

Sottise, erreur, tort ou bévue, 
Que de mal nous eût épargné 
Cet art, par nous moins dédaigné !",vers libre
Henri-Frédéric Amiel,Grains de mil,1854,L'épreuve du talent,Art (L'),"Oui, l'Art est grand ! Ses bois sacrés 
Te sont ouverts ; courage, adepte ! 
Comme néophyte il t'accepte, 
Tu peux franchir tous ses degrés. 
Sa grandeur n'est point dans la pompe ; 
Il ennoblit chêne et fétu, 
Et sourit au turlututu 
Comme au large accent de la trompe.

Mais sois prudent, crainte d'affront ; 
Pèse ta force ; l'âme éprise 
Sur ses dons fait parfois méprise : 
Jeune homme, as-tu l'étoile au front ? 
Pour un pinceau se tient l'estompe ; 
Tout dard, hélas ! se croit pointu ; 
Et souvent le turlututu, 
S'estime être une jeune trompe.

Sois constant, si tu te sens fort ; 
Travaille ! dans l'art, rien sans peine ! 
Mais ta peine peut être vaine, 
Le talent n'est point dans l'effort. 
Courbe ton arc, mais sans qu'il rompe ; 
Ne confonds pas fort et têtu ; 
En s'obstinant, turlututu 
Ne prends pas la voix de la trompe.

Oui, l'Art est grand, oui, l'Art est beau, 
Mais réclame un prêtre robuste : 
Pour le fort, c'est un temple auguste ; 
Pour l'impuissant, c'est un tombeau ! 
L'Art, sévère pour qui se trompe, 
Dit : Que peux-tu ? Non : Que veux-tu ? 
Souffle dans un turlututu 
Si tu ne peux remplir la trompe.",octosyllabe
Joseph Autran,Les Poèmes de la mer,1859,Le bouclier d'Achille,Art (L'),"A l'œuvre, dis-tu, qui pour toi commence,
Tu sens chanceler ta force et ta foi :
Chanter l'Océan, la tâche est immense
Et demanderait plus vaillant que toi !

Courage, poète ! Artiste, courage !
L'art est le plus grand des magiciens.
Ignores-tu donc, novice à l'ouvrage,
Quels enchantements sont parfois les siens ?

Dédaignant l'effort, ennemi du faste,
Plus il se contient, plus il est puissant.
Faut-il retracer l'objet le plus vaste ?
Il sait l'agrandir en le réduisant.

Il condensera tout ce qu'il imite,
L'infini lui-même en quelques mots brefs.
Il sculpta jadis la mer sans limite
Sur un bouclier aux vivants reliefs :

Disque où le héros du divin Homère
Montrait à la fois la terre et les cieux,
Et, fils de Thétis, les flots de sa mère
Roulant tout autour leurs plis spacieux !",vers libre
René-François Sully Prudhomme,Les épreuves,1866,L'art sauveur,Art (L'),"Sonnet.


S'il n'était rien de bleu que le ciel et la mer, 
De blond que les épis, de rose que les roses, 
S'il n'était de beauté qu'aux insensibles choses, 
Le plaisir d'admirer ne serait point amer.

Mais avec l'océan, la campagne et l'éther, 
Des formes d'un attrait douloureux sont écloses ; 
Le charme des regards, des sourires, des poses, 
Mord trop avant dans l'âme, ô femme ! il est trop cher.

Nous t'aimons, et de là les douleurs infinies : 
Car Dieu, qui fit la grâce avec des harmonies, 
Fit l'amour d'un soupir qui n'est pas mutuel.

Mais je veux, revêtant l'art sacré pour armure, 
Voir des lèvres, des yeux, l'or d'une chevelure, 
Comme l'épi, la rose, et la mer, et le ciel.",vers libre
René-François Sully Prudhomme,Les vaines tendresses,1875,L'art trahi,Art (L'),"Sonnet.


Fors l'amour, tout dans l'art semble à la femme vain : 
Le génie auprès d'elle est toujours solitaire. 
Orphée allait chantant, suivi d'une panthère, 
Dont il croyait leurrer l'inexorable faim ;

Mais, dès que son pied nu rencontrait en chemin 
Quelque épine de rose et rougissait la terre, 
La bête, se ruant d'un bond involontaire, 
Oublieuse des sons, lampait le sang humain.

Crains la docilité félonne d'une amante, 
Poète : elle est moins souple à la lyre charmante 
Qu'avide, par instinct, de voir le cœur saigner.

Pendant que ta douleur plane et vibre en mesure, 
Elle épie à tes pieds les pleurs de ta blessure, 
Plaisir plus vif encor que de la dédaigner.",vers libre
René-François Sully Prudhomme,Les vaines tendresses,1875,L'art et l'amour,Art (L'),"À Alexandre Piédagnel.


Le vent d'orage, allant où quelque dieu l'envoie, 
S'il rencontre un parterre, y voudrait bien rester : 
Autour du plus beau lis il s'enroule et tournoie, 
Et gémit vainement sans pouvoir s'arrêter.

— « Demeure, endors ta fougue errante et soucieuse, 
Endors-la dans mon sein, lui murmure la fleur. 
Je suis moins qu'on ne croit fière et silencieuse, 
Et l'été brûle en moi sous ma froide pâleur.

« Ton cruel tournoiement m'épuise et m'hallucine, 
Et j'y sens tout mon cœur en soupirs s'exhaler... 
Je suis fidèle ; ô toi, qui n'as pas de racine, 
Pourquoi m'enlaces-tu si tu dois t'en aller ? » —

— « Hélas ! Lui répond-il, je suis une âme en peine, 
L'angoisse et le caprice ont même aspect souvent. 
Vois-tu ce grand nuage ? Attends que mon haleine 
Ait donné forme et vie à ce chaos mouvant. » —

— « Pars, et reviens, après la pluie et le tonnerre ; 
Je t'aime et t'attendrai ; ne me fais pas d'adieu, 
Car nous nous unirons, moi sans quitter la terre, 
Toi sans quitter le ciel, ce soir même en ce lieu. » —

— « J'y serai, » dit le vent. Sous le fouet qui l'exile 
Il part, plein d'un regret d'espérance embaumé ; 
Et la fleur ploie encore et quelque temps vacille, 
Lente à reconquérir le calme accoutumé.

Elle est tout à son rêve, il est tout à l'ouvrage. 
Mais que les rendez-vous entre eux sont superflus ! 
Quand la fraîcheur du soir eut apaisé l'orage, 
Ni le vent ni la fleur n'existaient déjà plus.",vers libre
Jacques Delille,Poésies fugitives,1807,À Mme Lebrun,Art (L'),"Honneur à vos brillants pinceaux ! 
Charmante rivale d'Apelles, 
Tous vos portraits sont des tableaux, 
Et tous vos tableaux des modèles.",vers libre
Victor Hugo,Les châtiments,1853,L'art et le peuple,Art (L'),"I.

L'art, c'est la gloire et la joie. 
Dans la tempête il flamboie ; 
Il éclaire le ciel bleu. 
L'art, splendeur universelle, 
Au front du peuple étincelle, 
Comme l'astre au front de Dieu.

L'art est un champ magnifique 
Qui plaît au cœur pacifique, 
Que la cité dit aux bois, 
Que l'homme dit à la femme, 
Que toutes les voix de l'âme 
Chantent en chœur à la fois !

L'art, c'est la pensée humaine 
Qui va brisant toute chaîne ! 
L'art, c'est le doux conquérant ! 
À lui le Rhin et le Tibre ! 
Peuple esclave, il te fait libre ; 
Peuple libre, il te fait grand !

II.

Ô bonne France invincible, 
Chante ta chanson paisible ! 
Chante, et regarde le ciel ! 
Ta voix joyeuse et profonde 
Est l'espérance du monde, 
Ô grand peuple fraternel !

Bon peuple, chante à l'aurore, 
Quand le soir vient, chante encore ! 
Le travail fait la gaîté. 
Ris du vieux siècle qui passe ! 
Chante l'amour à voix basse, 
Et tout haut la liberté !

Chante la sainte Italie, 
La Pologne ensevelie, 
Naples qu'un sang pur rougit, 
La Hongrie agonisante... — 
Ô tyrans ! le peuple chante 
Comme le lion rugit !

Le 7 novembre 1851.",vers libre
Nicolas Boileau,L'art poétique,1674,L'art poétique (Chant I),Art (L'),"C'est en vain qu'au Parnasse un téméraire auteur 
Pense de l'art des vers atteindre la hauteur. 
S'il ne sent point du Ciel l'influence secrète, 
Si son astre en naissant ne l'a formé poète, 
Dans son génie étroit il est toujours captif ; 
Pour lui Phébus est sourd, et Pégase est rétif.

Ô vous donc qui, brûlant d'une ardeur périlleuse, 
Courez du bel esprit la carrière épineuse, 
N'allez pas sur des vers sans fruit vous consumer, 
Ni prendre pour génie un amour de rimer ; 
Craignez d'un vain plaisir les trompeuses amorces, 
Et consultez longtemps votre esprit et vos forces.

La nature, fertile en Esprits excellents, 
Sait entre les Auteurs partager les talents 
L'un peut tracer en vers une amoureuse flamme ; 
L'autre d'un trait plaisant aiguiser l'épigramme. 
Malherbe d'un héros peut vanter les exploits ; 
Racan, chanter Philis, les bergers et les bois 
Mais souvent un esprit qui se flatte et qui s'aime 
Méconnaît son génie et s'ignore soi-même : 
Ainsi tel autrefois qu'on vit avec Faret 
Charbonner de ses vers les murs d'un cabaret 
S'en va, mal à propos, d'une voix insolente, 
Chanter du peuple hébreu la fuite triomphante, 
Et, poursuivant Moïse au travers des déserts, 
Court avec Pharaon se noyer dans les mers. 

Quelque sujet qu'on traite, ou plaisant, ou sublime, 
Que toujours le bon sens s'accorde avec la rime ; 
L'un l'autre vainement ils semblent se haïr ; 
La rime est une esclave et ne doit qu'obéir. 
Lorsqu'à la bien chercher d'abord on s'évertue, 
L'esprit à la trouver aisément s'habitue ; 
Au joug de la raison sans peine elle fléchit 
Et, loin de la gêner, la sert et l'enrichit. 
Mais, lorsqu'on la néglige, elle devient rebelle, 
Et, pour la rattraper, le sens court après elle. 
Aimez donc la raison : que toujours vos écrits 
Empruntent d'elle seule et leur lustre et leur prix.

La plupart, emportés d'une fougue insensée, 
Toujours loin du droit sens vont chercher leur pensée 
Ils croiraient s'abaisser, dans leurs vers monstrueux, 
S'ils pensaient ce qu'un autre a pu penser comme eux. 

Évitons ces excès : laissons à l'Italie, 
De tous ces faux brillants l'éclatante folie. 
Tout doit tendre au bon sens : mais, pour y parvenir, 
Le chemin est glissant et pénible à tenir ; 
Pour peu qu'on s'en écarte, aussitôt on se noie. 
La raison pour marcher n'a souvent qu'une voie. 

Un auteur quelquefois, trop plein de son objet, 
Jamais sans l'épuiser n'abandonne un sujet. 
S'il rencontre un palais, il m'en dépeint la face ; 
Il me promène après de terrasse en terrasse ; 
Ici s'offre un perron ; là règne un corridor ; 
Là ce balcon s'enferme en un balustre d'or. 
Il compte des plafonds les ronds et les ovales ; 
« Ce ne sont que festons, ce ne sont qu'astragales. » 
Je saute vingt feuillets pour en trouver la fin, 
Et je me sauve à peine au travers du jardin. 
Fuyez de ces auteurs l'abondance stérile, 
Et ne vous chargez point d'un détail inutile. 
Tout ce qu'on dit de trop est fade et rebutant ; 
L'esprit rassasié le rejette à l'instant. 
Qui ne sait se borner ne sut jamais écrire. 

Souvent la peur d'un mal nous conduit dans un pire 
Un vers était trop faible, et vous le rendez dur ; 
J'évite d'être long, et je deviens obscur ; 
L'un n'est point trop fardé, mais sa Muse est trop nue ; 
L'autre a peur de ramper, il se perd dans la nue. 

Voulez-vous du public mériter les amours ? 
Sans cesse en écrivant variez vos discours. 
Un style trop égal et toujours uniforme 
En vain brille à nos yeux, il faut qu'il nous endorme. 
On lit peu ces auteurs, nés pour nous ennuyer, 
Qui toujours sur un ton semblent psalmodier.

Heureux qui, dans ses vers, sait d'une voix légère 
Passer du grave au doux, du plaisant, au sévère ! 
Son livre, aimé du Ciel et chéri des lecteurs, 
Est souvent chez Barbin entouré d'acheteurs.

Quoi que vous écriviez évitez la bassesse : 
Le style le moins noble a pourtant sa noblesse. 
Au mépris du bon sens, le Burlesque effronté, 
Trompa les yeux d'abord, plut par sa nouveauté.

On ne vit plus en vers que pointes triviales ; 
Le Parnasse parla le langage des halles ; 
La licence à rimer alors n'eut plus de frein, 
Apollon travesti devint un Tabarin. 

Cette contagion infecta les provinces, 
Du clerc et du bourgeois passa jusques aux princes. 
Le plus mauvais plaisant eut ses approbateurs ; 
Et, jusqu'à d'Assouci, tout trouva des lecteurs. 
Mais de ce style enfin la cour désabusée 
Dédaigna de ces vers l'extravagance aisée, 
Distingua le naïf du plat et du bouffon, 
Et laissa la province admirer le Typhon. 

Que ce style jamais ne souille votre ouvrage. 
Imitons de Marot l'élégant badinage, 
Et laissons le Burlesque aux Plaisants du Pont-Neuf. 

Mais n'allez point aussi, sur les pas de Brébeuf, 
Même en une Pharsale, entasser sur les rives 
« De morts et de mourants cent montagnes plaintives ». 
Prenez mieux votre ton, soyez Simple avec art, 
Sublime sans orgueil, agréable sans fard.

N'offrez rien au lecteur que ce qui peut lui plaire. 
Ayez pour la cadence une oreille sévère : 
Que toujours dans vos vers, le sens, coupant les mots, 
Suspende l'hémistiche, en marque le repos. 
Gardez qu'une voyelle, à courir trop hâtée, 
Ne soit d'une voyelle en son chemin heurtée, 
Il est un heureux choix de mots harmonieux. 
Fuyez des mauvais sons le concours odieux : 
Le vers le mieux rempli, la plus noble pensée 
Ne peut plaire à l'esprit, quand l'oreille est blessée.

Durant les premiers ans du Parnasse françois, 
Le caprice tout seul faisait toutes les lois. 
La rime, au bout des mots assemblés sans mesure, 
Tenait lieu d'ornements, de nombre et de césure. 
Villon sut le premier, dans ces siècles grossiers, 
Débrouiller l'art confus de nos vieux romanciers. 
Marot, bientôt après, fit fleurir les ballades, 
Tourna des triolets, rima des mascarades, 
À des refrains réglés asservit les rondeaux 
Et montra pour rimer des chemins tout nouveaux. 
Ronsard, qui le suivit, par une autre méthode, 
Réglant tout, brouilla tout, fit un art à sa mode, 
Et toutefois longtemps eut un heureux destin. 
Mais sa Muse, en français parlant grec et latin, 
Vit, dans l'âge suivant, par un retour grotesque, 
Tomber de ses grands mots le faste pédantesque. 
Ce poète orgueilleux, trébuché de si haut, 
Rendit plus retenus Desportes et Bertaut.

Enfin Malherbe vint, et, le premier en France, 
Fit sentir dans les vers une juste cadence, 
D'un mot mis en sa place enseigna le pouvoir, 
Et réduisit la Muse aux règles du devoir. 
Par ce sage écrivain la langue réparée 
N'offrit plus rien de rude à l'oreille épurée. 
Les stances avec grâce apprirent à tomber, 
Et le vers sur le vers n'osa plus enjamber. 
Tout reconnut ses lois ; et ce guide fidèle 
Aux auteurs de ce temps sert encor de modèle. 
Marchez donc sur ses pas; aimez sa pureté ; 
Et de son tour heureux imitez la clarté. 
Si le sens de vos vers tarde à se faire entendre, 
Mon esprit aussitôt commence à se détendre ; 
Et, de vos vains discours prompt à se détacher, 
Ne suit point un auteur qu'il faut toujours chercher. 

Il est certains esprits dont les sombres pensées 
Sont d'un nuage épais toujours embarrassées ; 
Le jour de la raison ne le saurait percer. 
Avant donc que d'écrire, apprenez à penser. 
Selon que notre idée est plus ou moins obscure, 
L'expression la suit, ou moins nette, ou plus pure. 
Ce que l'on conçoit bien s'énonce clairement, 
Et les mots pour le dire arrivent aisément.

Surtout qu'en vos écrits la langue révérée 
Dans vos plus grands excès vous soit toujours sacrée. 
En vain, vous me frappez d'un son mélodieux, 
Si le terme est impropre ou le tour vicieux : 
Mon esprit n'admet point un pompeux barbarisme, 
Ni d'un vers ampoulé l'orgueilleux solécisme. 
Sans la langue, en un mot, l'auteur le plus divin 
Est toujours, quoi qu'il fasse, un méchant écrivain. 

Travaillez à loisir, quelque ordre qui vous presse, 
Et ne vous piquez point d'une folle vitesse 
Un style si rapide, et qui court en rimant, 
Marque moins trop d'esprit que peu de jugement. 
J'aime mieux un ruisseau qui, sur la molle arène, 
Dans un pré plein de fleurs lentement se promène, 
Qu'un torrent débordé qui, d'un cours orageux, 
Roule, plein de gravier, sur un terrain fangeux. 
Hâtez-vous lentement, et, sans perdre courage, 
Vingt fois sur le métier remettez votre ouvrage 
Polissez-le sans cesse et le repolissez ; 
Ajoutez quelquefois, et souvent effacez. 

C'est peu qu'en un ouvrage où les fautes fourmillent, 
Des traits d'esprit, semés de temps en temps, pétillent. 
Il faut que chaque chose y soit mise en son lieu ; 
Que le début, la fin, répondent au milieu ; 
Que d'un art délicat les pièces assorties 
N'y forment qu'un seul tout de diverses parties, 
Que jamais du sujet le discours s'écartant 
N'aille chercher trop loin quelque mot éclatant.

Craignez-vous pour vos vers la censure publique ? 
Soyez-vous à vous-même un sévère critique. 
L'ignorance toujours est prête à s'admirer. 
Faites-vous des amis prompts à vous censurer ; 
Qu'ils soient de vos écrits les confidents sincères, 
Et de tous vos défauts les zélés adversaires. 
Dépouillez devant eux l'arrogance d'auteur, 
Mais sachez de l'ami discerner le flatteur : 
Tel vous semble applaudir, qui vous raille et vous joue. 
Aimez qu'on vous conseille, et non pas qu'on vous loue. 

Un flatteur aussitôt cherche à se récrier 
Chaque vers qu'il entend le fait extasier. 
Tout est charmant, divin, aucun mot ne le blesse ; 
Il trépigne de joie, il pleure de tendresse ; 
Il vous comble partout d'éloges fastueux... 
La vérité n'a point cet air impétueux. 

Un sage ami, toujours rigoureux, inflexible, 
Sur vos fautes jamais ne vous laisse paisible : 
Il ne pardonne point les endroits négligés, 
Il renvoie en leur lieu les vers mal arrangés, 
Il réprime des mots l'ambitieuse emphase ; 
Ici le sens le choque, et plus loin c'est la phrase. 
Votre construction semble un peu s'obscurcir, 
Ce terme est équivoque : il le faut éclaircir... 
C'est ainsi que vous parle un ami véritable. 

Mais souvent sur ses vers un auteur intraitable, 
À les protéger tous se croit intéressé, 
Et d'abord prend en main le droit de l'offensé. 
« De ce vers, direz-vous, l'expression est basse. »
«  — Ah ! Monsieur, pour ce vers je vous demande grâce, 
Répondra-t-il d'abord. — Ce mot me semble froid, 
Je le retrancherais. — C'est le plus bel endroit ! 
 — Ce tour ne me plaît pas. — Tout le monde l'admire. » 
Ainsi toujours constant à ne se point dédire, 
Qu'un mot dans son ouvrage ait paru vous blesser, 
C'est un titre chez lui pour ne point l'effacer. 
Cependant, à l'entendre, il chérit la critique ; 
Vous avez sur ses vers un pouvoir despotique... 
Mais tout ce beau discours dont il vient vous flatter 
N'est rien qu'un piège adroit pour vous les réciter. 
Aussitôt, il vous quitte ; et, content de sa Muse, 
S'en va chercher ailleurs quelque fat qu'il abuse ; 
Car souvent il en trouve : ainsi qu'en sots auteurs, 
Notre siècle est fertile en sots admirateurs  ; 
Et, sans ceux que fournit la ville et la province, 
Il en est chez le duc, il en est chez le prince. 
L'ouvrage le plus plat a, chez les courtisans, 
De tout temps rencontré de zélés partisans ; 
Et, pour finir enfin par un trait de satire, 
Un sot trouve toujours un plus sot qui l'admire.",vers libre
Théophile Gautier,Émaux et Camées,1852,L'art,Art (L'),"Oui, l'oeuvre sort plus belle 
D'une forme au travail 
Rebelle, 
Vers, marbre, onyx, émail.

Point de contraintes fausses ! 
Mais que pour marcher droit 
Tu chausses, 
Muse, un cothurne étroit.

Fi du rythme commode, 
Comme un soulier trop grand, 
Du mode 
Que tout pied quitte et prend !

Statuaire, repousse 
L'argile que pétrit 
Le pouce 
Quand flotte ailleurs l'esprit :

Lutte avec le carrare, 
Avec le paros dur 
Et rare, 
Gardiens du contour pur ;

Emprunte à Syracuse 
Son bronze où fermement 
S'accuse 
Le trait fier et charmant ;

D'une main délicate 
Poursuis dans un filon 
D'agate 
Le profil d'Apollon.

Peintre, fuis l'aquarelle, 
Et fixe la couleur 
Trop frêle 
Au four de l'émailleur.

Fais les sirènes bleues, 
Tordant de cent façons 
Leurs queues, 
Les monstres des blasons ;

Dans son nimbe trilobe 
La Vierge et son Jésus, 
Le globe 
Avec la croix dessus.

Tout passe. - L'art robuste 
Seul a l'éternité. 
Le buste 
Survit à la cité.

Et la médaille austère 
Que trouve un laboureur 
Sous terre 
Révèle un empereur.

Les dieux eux-mêmes meurent, 
Mais les vers souverains 
Demeurent 
Plus forts que les airains.

Sculpte, lime, cisèle ; 
Que ton rêve flottant 
Se scelle 
Dans le bloc résistant !",vers libre
Paul Verlaine,Jadis et naguère,1884,Art poétique,Art (L'),"De la musique avant toute chose, 
Et pour cela préfère l'Impair 
Plus vague et plus soluble dans l'air, 
Sans rien en lui qui pèse ou qui pose.

Il faut aussi que tu n'ailles point 
Choisir tes mots sans quelque méprise : 
Rien de plus cher que la chanson grise 
Où l'Indécis au Précis se joint.

C'est des beaux yeux derrière des voiles, 
C'est le grand jour tremblant de midi, 
C'est, par un ciel d'automne attiédi, 
Le bleu fouillis des claires étoiles !

Car nous voulons la Nuance encor, 
Pas la Couleur, rien que la nuance ! 
Oh ! la nuance seule fiance 
Le rêve au rêve et la flûte au cor !

Fuis du plus loin la Pointe assassine, 
L'Esprit cruel et le Rire impur, 
Qui font pleurer les yeux de l'Azur, 
Et tout cet ail de basse cuisine !

Prends l'éloquence et tords-lui son cou ! 
Tu feras bien, en train d'énergie, 
De rendre un peu la Rime assagie. 
Si l'on n'y veille, elle ira jusqu'où ?

O qui dira les torts de la Rime ? 
Quel enfant sourd ou quel nègre fou 
Nous a forgé ce bijou d'un sou 
Qui sonne creux et faux sous la lime ?

De la musique encore et toujours ! 
Que ton vers soit la chose envolée 
Qu'on sent qui fuit d'une âme en allée 
Vers d'autres cieux à d'autres amours.

Que ton vers soit la bonne aventure 
Eparse au vent crispé du matin 
Qui va fleurant la menthe et le thym... 
Et tout le reste est littérature.",vers libre
François Coppée,L'exilée,1877,En automne,Automne,"Quand de la divine enfant de Norvége, 
Tout tremblant d'amour, j'osai m'approcher, 
Il tombait alors des flocons de neige.

Comme un martinet revole au clocher, 
Quand je la revis, plein d'ardeurs plus fortes, 
Il tombait alors des fleurs de pêcher.

Ah ! je te maudis, exil qui l'emportes 
Et me veux du cœur l'espoir arracher ! 
Il ne tombe plus que des feuilles mortes.",décasyllabe
Antoine de Latour,Loin du foyer,1835,Un soir d'automne,Automne,"Une source à mes pieds roule son eau limpide, 
Et mêle son murmure à celui de mes vers, 
Tandis qu'autour de moi tombe la feuille humide 
Du saule qui déjà sent le froid des hivers.

A l'autre bord du lac, une beauté timide 
Dessine, en se jouant, ces coteaux encor verts 
Qui disputent en vain à son crayon rapide 
Et leurs mille détours et leurs lointains divers.

Et parfois je crois voir une blanche nacelle 
S'en venir d'elle à moi pour retourner vers elle, 
Et la muse, au milieu, nous sourire en passant,

Et verser tour à tour de sa coupe bénie, 
Aux changeantes lueurs du jour qui va baissant, 
La lumière sur l'un, sur l'autre l'harmonie.",metre libre
Charles Baudelaire,Les fleurs du mal,1857,Sonnet d'automne,Automne,"Sonnet.

Ils me disent, tes yeux, clairs comme le cristal : 
"" Pour toi, bizarre amant, quel est donc mon mérite ? "" 
- Sois charmante et tais-toi ! Mon coeur, que tout irrite, 
Excepté la candeur de l'antique animal,

Ne veut pas te montrer son secret infernal, 
Berceuse dont la main aux longs sommeils m'invite, 
Ni sa noire légende avec la flamme écrite. 
Je hais la passion et l'esprit me fait mal !

Aimons-nous doucement. L'Amour dans sa guérite, 
Ténébreux, embusqué, bande son arc fatal. 
Je connais les engins de son vieil arsenal :

Crime, horreur et folie ! - Ô pâle marguerite ! 
Comme moi n'es-tu pas un soleil automnal, 
Ô ma si blanche, ô ma si froide Marguerite ?",vers libre
